LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HOUSECOST,PRICERENT,IDX2015,Q,1975-Q4,100.6134845,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1976-Q1,100.5219343,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1976-Q2,102.3828066,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1976-Q3,102.0047447,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1976-Q4,103.2032439,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1977-Q1,103.9865412,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1977-Q2,105.4004073,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1977-Q3,106.3233709,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1977-Q4,108.0928966,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1978-Q1,108.5869717,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1978-Q2,109.0529995,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1978-Q3,109.3139041,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1978-Q4,109.5297193,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1979-Q1,111.070142,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1979-Q2,109.9300616,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1979-Q3,108.0493724,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1979-Q4,105.4427921,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1980-Q1,102.3370549,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1980-Q2,98.07081543,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1980-Q3,100.7554319,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1980-Q4,97.73242033,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1981-Q1,96.31948922,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1981-Q2,95.50174827,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1981-Q3,92.77585174,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1981-Q4,91.89286043,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1982-Q1,92.48492324,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1982-Q2,90.48086781,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1982-Q3,88.50912115,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1982-Q4,90.48818651,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1983-Q1,90.81231452,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1983-Q2,90.80171571,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1983-Q3,90.71440224,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1983-Q4,90.27188846,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1984-Q1,90.32360851,
USA,HOUSECOST,PRICERENT,IDX2015,Q,1984-Q2,90.5174905,
